created_at,id_str,full_text,username
Thu Oct 26 08:22:40 +0000 2023,1717456697965613118,"Isu ESAF Gampang Rontok, AHM Luncurkan New Honda Scoopy Garansi Rangka 5 Tahun https://t.co/Hyg81wLiPK  PT Astra Honda Motor (AHM) merilis New Honda Scoopy yang kini hadir dengan warna dan striping baru.",OfficialOtoexpo
Wed Oct 25 21:40:17 +0000 2023,1717295039175618784,@radenmadesu @Pai_C1 situ sales Yamaaf ya? kerjaannya cuma nyinyirin rangka esaf sama honda. jelas2 itu yang bgo orangnya ko malah bawa2 ragka esaf,titideby
Wed Oct 25 13:24:38 +0000 2023,1717170303414231217,"@welovehonda Perhari ini? berarti yang beli motor Honda sebelum hari ini, terutama yang rangka nya ESAF, klo ada masalah rangka BONCOS DONG .....:( HARUS NYESEL DONG GUA BELI SCOOPY DIBULAN APRIL, MANA RANGKA NYA ESAF... min tau ga dari mulai viral dibulan Juli Agustus - Sampe detik ini was2",mamangnih
Wed Oct 25 12:40:12 +0000 2023,1717159122926534974,Catat! Rangka eSAF Honda Kini Digaransi 5 Tahun https://t.co/li7kC7IkXE,detikoto
Wed Oct 25 12:02:25 +0000 2023,1717149613176885402,"“Perpanjangan garansi jadi 5 tahun ini membuat konsumen jadi lebih pede dan yakin soal jaminan produk dari Honda, ujar Thomas Wijaya, Excecutive Vice President PT AHM.  #jaminanrangkaesaf #rangkaesaf #esaf #honda #imos2023""",Motorpediaid
Wed Oct 25 12:02:23 +0000 2023,1717149606013022269,JAMINAN BARU RANGKA ESAF 5 TAHUN⁉️  Wooww‼️Kabar menarik nih buat kamu para pengguna motor Honda.  AHM melengkapinya dengan memberikan garansi rangka hingga 5 tahun tanpa batas jarak tempuh (kilometer) untuk setiap sepeda motor baru yang diterima konsumen sejak 25 Oktober 2023. https://t.co/Eym6dbfxBG,Motorpediaid
Wed Oct 25 11:40:30 +0000 2023,1717144099000844355,"Setelah Drama eSAF, Honda Kasih Garansi Rangka Sampai 5 Tahun #uzoneID #mobil #motor https://t.co/ZoNEuvycdk",uzoneindonesia
Wed Oct 25 10:37:25 +0000 2023,1717128222343917823,New Honda Scoopy Rangka eSAF Garansi 5 Tahun Diluncurkan https://t.co/GpW9TTDL3W,CNNIndonesia
Wed Oct 25 10:36:43 +0000 2023,1717128044585127981,Ada pemirsa yang sudah tidak sabar mau beli Honda Scoopy eSAF terbaru 2024? #honda #esaf #garansirangka #scoopy2024 Honda Scoopy Terbaru 2024 Garansi Rangka eSAF 5 Tahun https://t.co/hqfRtMCJKB lewat @ipanase,ipanase
Wed Oct 25 10:24:25 +0000 2023,1717124950132404288,"Monggo yang sayang Anak, Keluarga dst. Saya bukan Fans Fanatik produk tertentu. Bagi yang mau konsultasi silahkan. Saya bukan Sales. Keselamatan no. 1. Biar masyarakat terbuka gak di bohongin Kartel HONDA AHM. Rangka Esaf juga gak bertanggung jawab nyatanya. https://t.co/V7DdtgXSMt",MHasbyDzikry
Wed Oct 25 09:44:21 +0000 2023,1717114865544986698,HONDA BERI GARANSI SEMUA RANGKA 5 TAHUN⁉️ Yuk simak apa saja poin terkait garansi rangka esaf ini!!  1. Per pengiriman hari ini (25/10) semua motor Honda garansi rangka 5 tahun tanpa batas kilometer. https://t.co/oYvWtoAE8G,Motorpediaid
Wed Oct 25 08:18:41 +0000 2023,1717093307061563527,Rangka eSAF Honda Kini Digaransi 5 Tahun! https://t.co/B5wmgccANP,detikoto
Wed Oct 25 08:16:58 +0000 2023,1717092876973404397,Asyik! Buat Brosis yg beli motor Honda mulai 25 OKT 2023 bakal dpt garansi rangka 5 tahun utk semua tipe motor🙌🏼 Skutik ✅ Sport ✅  Cub ✅  CBU &amp  Big Bike ✅  Motor Listrik ✅  Kepoin detailnya di sini 👉🏻 https://t.co/bzrBmE4rY2…  #BersamaHonda #eSAF #rangkaeSAF #garansiresmi https://t.co/hPkveNeouu,indakohonda
Wed Oct 25 07:27:22 +0000 2023,1717080394963857672,Asyik! Buat Brosis yg beli motor Honda mulai 25 OKT 2023 bakal dpt garansi rangka 5 tahun utk semua tipe motor🙌🏼 Skutik ✅ Sport ✅  Cub ✅  CBU &amp  Big Bike ✅  Motor Listrik ✅  Kepoin detailnya di sini 👉🏻 https://t.co/qCKLb25Ghr  #BersamaHonda #eSAF #rangkaeSAF #garansiresmi https://t.co/EoCVr21CuL,welovehonda
Wed Oct 25 06:03:11 +0000 2023,1717059210071208161,Salam satu hati ❤️  Yang kemarin bertanya - tanya Rangka Esaf ada kabar gembira nih BroSis..  GARANSI RANGKA 5 TAHUN UNTUK SEMUA MOTOR HONDA❤️  Jadi tenang ya sekarang BroSis..  Yuk ke dealer Surya Motor sekarang mumpung lagi banyak Promo Menarik https://t.co/N4KxMnIBpR,hondasuryamotor
Wed Oct 25 05:19:52 +0000 2023,1717048309674893364,"Ciamik soro ini, ada pemirsa yang sudah mau beli motor Honda? #rangka #esaf #diamond #tralis #underbone #backbone #honda #rangkahonda Bukan Hanya Matic ! Honda Garansi Rangka Semua Jenis Motornya Selama 5 Tahun https://t.co/QQLh1p6rQ9 lewat @ipanase",ipanase
Tue Oct 24 16:27:46 +0000 2023,1716854003513119066,@unforgetichable @raulragil Punya mtor yg pke rangka esaf emg mbak? ko bisa2nya bilang rangka esaf sama honda mleyot. mtor saya yg rangka esaf gk knpa2 tuh,titideby
Tue Oct 24 16:22:06 +0000 2023,1716852577663631676,@unforgetichable @raulragil bisa buktiin gak motor honda yg pke rangka esaf meleyot? klo cuma liat video yg beredar mh itu setiingan kli. djlan sya gk pernah nemuin tuh yg kaya gtu,laconsayrichell
Tue Oct 24 05:22:07 +0000 2023,1716686485414633825,@jogmfs Aku gatau secara pasti tapi mungkin gara-gara kasus eSAF nya honda yang sempet rame,dlhomme_
Mon Oct 23 09:40:01 +0000 2023,1716388999403901387,cok garagara rangka esaf sm honda mleyot @raulragil dicomment buzzer honda 😭🫵🏼,unforgetichable
Mon Oct 23 09:02:22 +0000 2023,1716379528111755515,"@iwan3660 @mhmd_dikri Rangka esaf tuh mengusung konsep modular yang inovatif dan kekinian loh kak. Jadinya efisien..  Buktinya bisa kakak liat di jalanan sekarang, produksi honda dengan rangka esaf masih berlalu lalang dijalanan.",titideby
Sun Oct 22 23:40:54 +0000 2023,1716238230209925156,"Spesifikasi &amp  Harga Honda Monkey 2024, Tidak Pakai eSAF…!! https://t.co/8zKTRoiczF",ardiantoyugo
Sat Oct 21 16:26:15 +0000 2023,1715766456309424587,"Dosa honda sebenernya ga cuma rangka esaf, tapi juga lampu scoopy dan beat model led yg silau banget ke kedaraan lain dari lawan arah. Pake motor atau mobil ttp silau 👎",sooleekin
Sat Oct 21 11:37:56 +0000 2023,1715693902156714150,@LambeResing Sedang menghujat rangka esaf Honda min,Soapking690
Sat Oct 21 09:46:20 +0000 2023,1715665814874169637,Penyegaran Honda Beat 2023 dengan Rangka eSAF Lebih Ringan Teknologi Terbaru https://t.co/yriD3EZt7M https://t.co/gN9l1PclHe,Pancar_POS
Sat Oct 21 07:02:24 +0000 2023,1715624558735380871,"@pinguinprop Yang rungkad cukup judi online ajalah, perasaan motor honda yang berbasis rangka esaf masih dapat kulihat berkeliaran di jalanan..",titideby
Sat Oct 21 02:35:18 +0000 2023,1715557342887247973,Penyegaran Honda Beat 2023 dengan Rangka eSAF Lebih Ringan Teknologi Terbaru https://t.co/yriD3EZt7M,Pancar_POS
Fri Oct 20 15:23:14 +0000 2023,1715388209218433348,"@e100ss Yo sek payu ae padahal sing dicolong rangka Esaf"". Ini mmbuktikan bhwa Honda disukai Maling sik an""",C27yo
Fri Oct 20 15:20:01 +0000 2023,1715387400472740279,"Sama-sama dari Honda, Basisnya Bukan Rangka eSAF, Melainkan Pipa Frame Berdesain Baru, Yakni Giorno+! https://t.co/vIxCfyk8FF",salamah213
Fri Oct 20 02:10:14 +0000 2023,1715188644250861672,"@yusuf_dumdum Bikin motor sama mobil jalur siapa nih? bikin motor jalur honda yang rangka esaf, apa mobil jalur honda fitur sunat?",hampirsajalupa
Thu Oct 19 23:45:02 +0000 2023,1715152104380391579,"@innovacommunity Kenapa orang +62 brand minded ya min?  Misal honda nih,isu esaf aja kyk ga gubris, pdhal klo dluar negeri uda dtinggalin,bakal recall besar2an",gerilyawan86
Thu Oct 19 14:31:37 +0000 2023,1715012833937871123,"@RingSatoe Hai Kak, kami pastikan untuk rangka eSAF pada motor Honda terbaru yang didistribusikan sudah melewati quality control dan lolos uji kelayakan serta keamanan sesuai dengan standar dari PT Astra Honda Motor ya. Jika muncul kendala pada motor (cont)",AstraHondaCare
Wed Oct 18 15:10:40 +0000 2023,1714660273750192368,Puh.... Sepuh... Ajarin dong puh sepuh. Ucap honda eSAF pada suzuki pengangkut kayu ulin... https://t.co/I5A5IR880y,Rumbunisme
Wed Oct 18 10:22:48 +0000 2023,1714587828724891896,@damnfreey @Tedactl Honda Vario 150 tahun 2020 minus pemakaian baru servis pajak hidup (warna hitam merah) nego sampai jadi (BUKAN ESAF),TonyRomo____
Tue Oct 17 13:09:20 +0000 2023,1714267349770277180,@IRULOKE @txtdaribandung Cie sales Yamaaf pda seneng nih yee ada bhan baru buat nyerang honda. pdhal mah gk ada kaitanya sma rangka esaf 🤣,kanika_panda
Mon Oct 16 14:58:41 +0000 2023,1713932479235826093,@Arifin13985956 @donkim30 @teguhalifns @idextratime mana mas buktinya motor honda yg pke rangka esaf ngelipat? klo cuma liat video yg beredar mh itu setiingan kli. djlan sya gk pernah nemuin tuh yg kaya gtu,titideby
Mon Oct 16 14:45:32 +0000 2023,1713929172853444664,@luthjil Cie sales Yamaaf pda seneng nih yee ada bhan baru buat nyerang honda. pdhal gk ada kaitanya soal Marquez pindah sma rangka esaf 🤣,kanika_panda
Mon Oct 16 14:32:44 +0000 2023,1713925951728566274,@bluplup_ @sazwalizs mana mas buktinya motor honda yg pke rangka esaf patah? klo cuma liat video yg beredar mh itu setiingan kli. djlan sya gk pernah nemuin tuh yg kaya gtu,titideby
Mon Oct 16 06:55:45 +0000 2023,1713810945804538083,"@lucywiryono Itu si netijen kirimin kerangka esaf honda aja, mba",su_darman_to
Sun Oct 15 14:33:59 +0000 2023,1713563877592682908,@buluhidvng__ mna sih rangka honda kropos? emg situ pke honda? mtor saya honda rangka esaf gk krpos tuh aman2 aja prasaan,kanika_panda
Sun Oct 15 14:28:39 +0000 2023,1713562533901312505,@CampoesGroep @Unsoedfess1963 mana mas buktinya motor honda yg pke rangka esaf ngelipat? klo cuma liat video yg beredar mh itu setiingan kli. djlan sya gk pernah nemuin tuh yg kaya gtu,titideby
Sun Oct 15 14:26:56 +0000 2023,1713562104899502231,@CampoesGroep @Unsoedfess1963 Sales YMH ya bang? klo saya sebagai pengguna honda mah gk kemakan sih sama isu kya gtu. apalagi mtor saya pke rangka esaf aman aja tuh,kanika_panda
Sun Oct 15 10:46:45 +0000 2023,1713506690338046294,marc maquez pindah ducati krena honda skrg pake rangka esaf,luthjil
Sun Oct 15 10:14:00 +0000 2023,1713498451143786730,@MotoGP @PeccoBagnaia Honda lagi fokus ngurusin rangka esaf,MrIchss
Sun Oct 15 07:20:02 +0000 2023,1713454670570762455,Honda bapuk di gp perkara rangka esaf ini pasti,bagusatrios
Sun Oct 15 04:01:00 +0000 2023,1713404583266193746,"@Unsoedfess1963 Sm2 enak. Tp dr isu kmrn honda (beat) pk rangka esaf yg ringkih (motor lipat), mnding pilih yamaha. Welkam tu yamaha kleb",CampoesGroep
Sun Oct 15 02:47:14 +0000 2023,1713386019016585440,marc marquez cabut dr honda soalnya rangka honda keropos ga eSAF.,buluhidvng__
Sat Oct 14 16:40:47 +0000 2023,1713233400394620974,@vic_hasiholan @LambeResing Cie sales Yamaaf pda seneng nih yee ada bhan baru buat nyerang honda. pdhal gk ada kaitanya soal Marquez pindah sma rangka esaf 🤣,kanika_panda
Sat Oct 14 16:30:52 +0000 2023,1713230906155233440,"@_Wira_negara @sosmedkeras jiah bg itu bukan mtor honda kali, lgian rangka esaf aman kli. mtor saya pake esaf gk ada msalah tuh",kanika_panda
Sat Oct 14 16:25:15 +0000 2023,1713229492532253126,"@__Verstappen1 @vic_hasiholan @LambeResing dibayar brapa mas buat nyerang honda kya gtu, lgian emg situ udh ngerasain blom mtor yg pke rangka esaf? ko bisa2nya bilang gtu",titideby
Sat Oct 14 10:33:45 +0000 2023,1713141031875797160,Sebuah struktur honda yang cukup revolutioner yaitu rangka eSAF. Udah tau belum motor apa aja yang pakek rangka eSAF? Simak postingan berikut ya😁  #motorpediaid #honda #genio #beat #scoopy #vario https://t.co/Ck1lWQNExS,Motorpediaid
Fri Oct 13 14:41:50 +0000 2023,1712841077903053092,"@krissezra Itu mah emg Yamaaf yg kualitasnya parah, klo honda mah aman2 aja tuh. soalnya mtor sya pke esaf smua no problem",kanika_panda
Fri Oct 13 08:31:54 +0000 2023,1712747981525705008,@i___kigai @ScherazadeMS pake Honda Vario 160 esaf,deddy_prast98
Fri Oct 13 07:18:15 +0000 2023,1712729443901538472,"@NovarFY @LambeResing Kalo gw sih ya, udahlah ya Honda masih tetap yg terbaik. Soal rangka ESAF yang patah, kan Yamaha juga ada. Jumlahnya juga bukan satu, lebih dari satu yang patah. Jadi ngga usah terlalu mendakik-medakik menyalahkan Honda. Ini mah soal perawatan si pemilik.  https://t.co/YNxfpBM5HM",dubidubi_damn
Fri Oct 13 07:03:47 +0000 2023,1712725805506388336,"@krissezra Kalo gw sih ya, udahlah ya Honda masih tetap yg terbaik. Soal rangka ESAF yg patah, kan Yamaha juga ada. Jumlahnya juga bukan satu, lebih dari satu yang patah. Ini mah soal perawatan si pemilik. Gitu ngga sih? Hehehe https://t.co/2JBgNFBrJd",pedagangcucur
Fri Oct 13 05:48:48 +0000 2023,1712706933508227228,@LambeResing Honda musim depan soalnya pake rangka eSaf buat RC213V. Makanya Marquez ke Ducati 😆,vic_hasiholan
Thu Oct 12 17:03:56 +0000 2023,1712514448412565771,"Launching Honda AirBlade 160 2024, Tak Pakai Rangka eSAF…!! https://t.co/TGUcsUzXwy",ardiantoyugo
Thu Oct 12 13:18:34 +0000 2023,1712457734044721156,"Bisa bikin rugi besar, Inilah kelebihan dan kekurangan rangka eSAF pada motor Honda https://t.co/IKGVMLq2H9",bisnisbandung63
Thu Oct 12 10:45:58 +0000 2023,1712419329525121500,"@cha_malla mulai th 2019 motor honda matic pake rangka esaf , dr genio, beat , vario   yg bukan rangka esaf ini   forza , pcx , adv   kalo mau nunggu ini ,bntar lg launcing harga 30 an 125 cc https://t.co/L4sTQQyrMi",xlinee_id
Thu Oct 12 10:27:55 +0000 2023,1712414790176719081,motor matic dari Honda bukan rangka Esaf yg ngirit apa ya??  yg tau boleh koment ya👇👇👇  abang2 ojol motor Kelen ngirit GK? https://t.co/zxpXtvz62b,cha_malla
Thu Oct 12 05:11:26 +0000 2023,1712335144621896148,@AndyHuskyyy Honda jazz rangka esaf,mrsimple66669
Wed Oct 11 13:22:14 +0000 2023,1712096270498795704,"@PSM_Makassar Sponsor doang Honda, manajemen keuangan rapuh kaya rangka esaF",Warbiasah
Wed Oct 11 07:15:07 +0000 2023,1712003880261931510,5 Motor Honda yang Tidak Pakai Rangka eSAF https://t.co/4RmPUne7vR,TrickyJava
Wed Oct 11 02:57:41 +0000 2023,1711939097475121337,"@itwasntmely @tanyarlfes Gua pengguna Honda rangka eSAF aman2 aja, berita diluaran sana hoax",elmalia1049610
Tue Oct 10 14:43:59 +0000 2023,1711754456436724021,"@Cikiberscrut @welovehonda Yang bener bang? Diperiksa sendiri juga bisa ngapain keluarin duit, dan esaf Honda sekarang dah lebih baik, gak ada berita esaf patah lagi",rangga_azo96586
Tue Oct 10 12:02:36 +0000 2023,1711713843242742192,@tukangbalap55 @WagimanDeep212_ Kenapa sih apa apa ESAF.. KNKT suah buktikan ESAF Honda tuh sudah sesuai kualitas standar global,deriskyafriza
Tue Oct 10 08:25:59 +0000 2023,1711659328439308788,"Parah, Ikut-ikutan Rangka eSAF, Kerangka Yamaha NMAX Ada Ditemukan Retak dan Hampir Patah? https://t.co/PkbJX2EhIb  #viralvideos #viral #fyp #virall #viraltiktok #pancarpos #esaf #honda #yamaha https://t.co/ugJ6QEuguQ",Pancar_POS
Tue Oct 10 07:04:03 +0000 2023,1711638706816524438,@WagimanDeep212_ Rangkanya menjiplak punya Honda eSAF.,AdamMahomet17
Tue Oct 10 03:45:20 +0000 2023,1711588697920197112,"@psi_id @kokokdirgantoro @maidina__ tolong dong bilangin honda,masa gara2 esaf jadi kita yg kena biaya tambahan 60 ribu klo periksa esaf diahas,,,kan esaf yg pake honda bukan kita yg mau &amp  kita ga tau klo beli motor honda rangka esaf",Cikiberscrut
Mon Oct 09 18:00:33 +0000 2023,1711441532497387940,@adhams coba buktiin bg mana motor honda yg pake rangka esaf beneran patah? gk usah nebar narasi2 hoax deh,kanika_panda
Mon Oct 09 16:59:30 +0000 2023,1711426172066947131,"@pras_wichak @iqbalaryono @_BangFu kebanyakan makan isu murahan lu bg, ampe skrng gwe blom pernah liat tuh motor honda yg pke rangka esaf knpa2",kanika_panda
Mon Oct 09 03:40:42 +0000 2023,1711225144591683633,"Harga &amp  Spesifikasi Honda SH Mode 125 2024, Tetap Rangka eSAF Terjangkau…!! https://t.co/zrxAt2DSNb",ardiantoyugo
Sun Oct 08 18:18:22 +0000 2023,1711083630834205101,"@iqbalaryono @_BangFu Untung di comparenya sama Astrea Supra ya bang.. biar dikata tua juga legend.. coba sama matic Honda rangka esaf, wkwkwk.. Namaste 🙏",pras_wichak
Sun Oct 08 17:03:05 +0000 2023,1711064683934052410,"Harga &amp  Spesifikasi Honda SH Mode 125 2024, Rangka eSAF Terjangkau…!! https://t.co/zrxAt2DSNb",ardiantoyugo
Sun Oct 08 14:39:40 +0000 2023,1711028590517846058,"Rangka aman, bukan esaf. Tapi standar patah. Honda emang seru.",mascepp
Sun Oct 08 14:08:31 +0000 2023,1711020753687314742,"Org nyicil motor baru tu kyk cari rugi yg terpampang nyata, apalagi yg dicicil honda rangka esaf, wtf bro",txtdrnaff
Sun Oct 08 12:45:24 +0000 2023,1710999837905391851,@plutonianXI @worksfess Gak musti gitu kali bang.. KNKT aja dah buktiin kalo ESAF Honda tuh udah sesuai standar global,abengr91
Sun Oct 08 12:38:55 +0000 2023,1710998205121585354,@maxiitusexy_887 @convomfs ESAF Honda tuh udah dapat pembuktian dari KNKT kualitas nya udah sesuai standar global,abengr91
Sat Oct 07 13:31:38 +0000 2023,1710649085555016173,@nasrudiin_ @ScherazadeMS @Motorsport Matic honda rangka esaf langsung patah,andreasstrp
Thu Oct 05 14:45:40 +0000 2023,1709942939500355685,@convomfs Hot wheels rangka esaf Honda Foldable... Rare item nih.. https://t.co/KTuVKvbjWR,togetherial
Thu Oct 05 11:54:28 +0000 2023,1709899856893161805,"Marq pindah aja honda menurun cok, liat aja rangka esaf",ardaajaaja
Thu Oct 05 09:55:48 +0000 2023,1709869990177107999,"Kelebihan rangka eSAF yaitu rangka yang lebih kuat dan minim deformasi dari generasi sebelumnya, kamu akan merasakan kinerja yang luar biasa di setiap perjalanan. Bobot yang lebih ringan dengan rangka eSAF menjadikan sepeda motor Honda (@welovehonda_id) lebih efisien~ https://t.co/11irWhi6Mz",Motorpediaid
Thu Oct 05 09:55:44 +0000 2023,1709869976797212992,"Honda: Pionir Inovasi Sepeda Motor yang Lebih Kuat, Ringan, dan Efisien!  Halo pecinta otomotif!  Tau nggak kalau eSAF juga punya kelebihan. https://t.co/RMinRIfcuE",Motorpediaid
Thu Oct 05 05:14:43 +0000 2023,1709799253475033481,@idextratime Iyaaa pindah soalnya Honda pakai rangka esaf tkt ditengah jalan JD ngelipet tuh motor 🤪🤪🤪katanya mau Pi dah ke Ducati Gresini,DiyanaFitriani1
Thu Oct 05 02:38:19 +0000 2023,1709759893455212934,"Makin Elegan, New Honda Beat 2024 Sudah Insyaf atau Masih eSAF?  https://t.co/J2wJwJOgGD",NyusNyus_
Thu Oct 05 00:20:35 +0000 2023,1709725233819582604,Twit terakhir Astra Honda Care setelah tragedi rangka Esaf. Semoga admin Twitternya bisa hidup lagi ..,RingSatoe
Wed Oct 04 18:36:07 +0000 2023,1709638544694837681,Kemaren rame honda gegara ESAF Hari ini HRC ditinggal @marcmarquez93 #mm93 Kurang sedekahnya nih honda....,fadlyputrawan
Wed Oct 04 15:07:33 +0000 2023,1709586056469967102,@ngalammenfess Rangka esaf honda.,sandyk0426
Wed Oct 04 14:47:16 +0000 2023,1709580952459161851,"Launching Honda Vision 110 2024, Keren Tapi Pakai eSAF…!! https://t.co/cwFX0pzrwm",ardiantoyugo
Wed Oct 04 14:33:54 +0000 2023,1709577588254085129,Hengkang dari Honda gara2 rangka esaf,venasaran
Wed Oct 04 14:31:54 +0000 2023,1709577087290630350,@ScherazadeMS Udah dibilangin @Honda suruh recall rangka esaf masih ngeyel 😂🤣,f4t134h
Wed Oct 04 14:20:21 +0000 2023,1709574181128634618,"mantaaabbbb akhirnya sudah saatnya si semut kembali kompetitif musim depan honda ampas, rangka esaf wkwkwkw",Luitugakdiajak
Wed Oct 04 13:22:46 +0000 2023,1709559689036648732,Jangan bilang alasan Marquez keluar dari Honda gara2 motornya pake rangka esaf 😭🤣,Shadowruiner
Wed Oct 04 11:58:01 +0000 2023,1709538360610771015,@idextratime ibarat bandingin mana lebih baik honda beat rangka esaf sama harley davidson,awokwokman
